100,14.5602,14.8661,18.1108,15.1327,13.8924,18.0278,13.9284,13.4164,11.6619,15.2971,13.0384,20.2237,11.4018,13,14.0357,14.5602,14.7648,11.0454,14.2127,17.1172,13.1529,13.6015,11.7047,13.3417,14.4222,17.4929,12.6491,12.0416,15.2315,14.1421,12.6491,15.0333,12.2066,13.4536,13.1529,14.5602,16.2788,13,13.3417,16.1245,13.6015,14.3178,17.2627,10.8167,13.1529,11.7047,14,11.1803,13,14.5602,12.3693,12.083,13.4536,12.3693,12.1655,10.2956,12.53,12.2066,15.2971,13.1529,12.1655,14.5602,12.1655,10.198,12.083,11.4018,11.1803,16,13.4164,12.1655,11,14.5602,10.7703,12.2066,16.4924,12.53,12.0416,14.1421,11.0454,12.2066,14.0357,11.7047,10.4403,14.3178,11.7047,10.198,11.1803,11.1803,13.6015,12,10.2956,12.0416,10,8.06226,11.4018,11.7047,10.8167,10.0499,10.0499,11.4018
200,23.7697,21.095,25.02,21.3776,20.6155,24.0416,18.868,21.8403,19.105,21.8403,20.025,26.0192,21.1896,20,20.6155,22.0907,22.4722,17.2047,24.5967,25.0799,19.6469,22.4722,20.025,20.1246,19.105,22.8035,16.5529,18.868,18.0278,21,19.2354,18,19.105,19.8494,19.7231,23.3452,21.6333,17.8885,21.0238,22.0907,19.2354,21.9317,23.1948,17.8045,22.0907,19.3132,20.0998,16.4924,16.4012,21.2603,20.025,22.561,20.025,18.3576,18.0278,18.1108,17.4929,20.2485,24.1868,20.0998,16.4924,21.095,17.2047,17.72,16.1555,19.105,19.2354,22.2036,21.4009,19.6469,17,23.1948,19.105,17.4642,20.2237,18.3848,21.2132,20.0998,20.6155,18.3848,21.3776,16.4924,15.1327,18.7883,17.2627,18,16.6433,17.2627,19.4165,18.3576,16.7631,14.1421,15.6525,13.1529,14.3178,16.9706,14.2127,13.4536,15.0333,16.2788
300,28.1603,26.0192,30.4138,29.2746,28.8444,29.6142,24.3311,25.632,24.7386,28.4605,29.0172,33.0151,26.4008,27.0185,24.6982,28.6356,30.4138,26.6271,29.6816,30.4138,27.1662,24.5967,26.9258,24.0832,24.0208,26.9258,21.095,22.3607,24.0416,27.074,28.6007,20.6155,26.0192,25.4951,27.4591,28.0713,25.4558,23.0868,24.7386,27.0185,24.1868,25.4951,28.8617,22.0227,27,24.6982,25,23.7697,20.8087,24.0832,23.0217,26.9258,21.095,23.4094,24.0208,19.4165,21.5407,29.4109,27.5136,23.0217,23.0868,25,23.1948,25.0799,22.2036,24.1868,25.1794,28.8617,25.2389,23.7697,22,29.0172,23.0868,20.8806,23.3452,24.3516,24.3516,23.0217,24.3311,22.3607,23.5372,22.0907,19,21.5407,20.0998,21.3776,20,21.8403,24.1868,20.6155,19.6469,19.6469,21.4009,18.1108,16.1555,19.799,18.6011,19.2094,22.2036,21.2132
400,31.305,29.9666,34.0147,32.9848,32.6497,33.8378,28.0713,32.249,31.7805,34.2053,35.2278,37.1214,33.2415,36.2215,32.0156,32.5576,34.4384,28.4253,35.609,40,29.8329,31.9531,31.9531,29.5466,33.9559,30.5941,23.4307,27.5862,27.2947,31.7805,31.3847,25.4558,32.1403,29.2746,31.4006,31.0161,30.0832,27.0185,31.4006,30.0167,27.4591,29.5466,32.7567,27.6586,29.0689,33.5261,28.2843,31.7805,30.4138,30.8058,27,30.0832,27.1662,26.4008,27.074,22.3607,25.2982,33.2415,29.7321,29,29,29,27.074,29.4279,28.0179,26.4764,28.0713,32.9848,28.0179,31.0161,27.0185,33.0151,29.1548,27.6586,31.3209,28.6356,27.5136,29.0689,29.6142,26.9258,27.2029,25.1794,24.0832,25,23.4307,26.3059,23.7065,26.3059,26.8328,26.9258,23.0217,23.7697,25,21.3776,19.3132,24.8395,21.2603,22.4722,27,25
500,35.2278,34.4384,37.108,35,36.2491,38.0789,32.1403,37.6563,40.2616,38.0789,40.1995,38.3275,37.6431,40.6079,38.3275,38.833,40.7063,31.1127,38.2099,45.0999,32.1403,35.9026,39.5601,33.6155,38.3275,34.3657,27.4591,33.6006,33.1059,37.855,36.6742,28.2843,37.054,31.5753,34.2053,34.1321,34.4819,30.0832,34.3657,37.0135,33.3766,36.0555,35.6931,29.8329,34.0588,37.3363,33.2415,37.855,32.2025,32.7567,30,33.8378,31.9531,28.8444,31.1448,28.1603,27.5136,35.7351,32.7567,33.0606,32.0156,31.0644,32.0624,33.0151,32.45,27.6586,30.5287,39.0512,32.8024,33.6155,31.0483,34.5254,34.0147,31.5753,33.9559,32.2025,30.3645,32.7567,31.7805,31.7648,31.0483,28.2843,28.0713,27.5136,26.9072,29.8329,26,29.1548,31.3847,32.9848,26.0768,29.1204,28.3196,22.8035,21.1896,25.4951,22.8035,25.4951,30.8058,28.6531
600,38.0789,38.4708,39.2046,39.0128,39.8246,41.2311,33.541,39.6232,45.1221,40.5216,41.1096,42.4264,41.6293,43.566,44.1475,41.7612,42.9535,32.8024,43.9659,48.0937,35.1283,41.2311,43.6578,35.8469,40.5216,39.0512,31.0483,37.7359,35.0143,42.7551,38.9102,34.0588,39.1152,34.7131,36.6742,36.1248,38.2753,34.1321,38.0132,40.05,38.3275,40.5216,40.6079,32.8024,37.054,42.0595,36.2215,40.4475,36.4005,37.855,33.0151,38.2753,37.6962,34.8855,38.0526,34.0588,30.3645,38.6005,36.4005,36.1248,36,36.0139,33.3017,35.5106,34.4093,30.0832,33.6155,40.7922,38.6005,36.0555,34.4819,36.8782,39.0128,36.3456,37.6962,34.0147,37.108,36.0555,33.2415,33.6006,34.9285,32.1403,32.0156,29.1548,29.8329,32.0156,26.6833,31.9531,33.2415,36.3456,28.0179,31.3209,30.6105,26.4764,23.3452,28.4253,25.5539,27.313,33.9559,31.0644
700,42.107,43.0465,44.2719,41.1947,45.2769,44.4185,38.2099,43.4166,47.2969,43.3244,42.19,49.2544,45.6508,45.7056,47.0744,45.7056,45.8803,36.6742,49.5782,52.0865,41.1947,43.1741,49.98,37.8021,45.8803,46.1736,33.2415,41.7732,39,46.0977,43.6578,38.6264,45.0999,37.855,39.5601,40.1995,42.1545,40,42.19,43,40.4475,42.0595,46.2709,36.2353,40.05,46.9574,40.1123,44.2832,39.6611,41.4367,35.3553,41.1096,40.8534,37.5899,42.0476,39.1152,33.7343,43.6807,41.4849,40.1995,40.1123,40.0125,39.598,39.4588,36.8782,33.2415,38.0789,44.643,41.4005,40.2616,37.108,41.7732,41.0122,40.1123,40.3113,35.8469,41.4849,39.6232,37.3363,36.8782,36.4005,34.1321,36,32.28,30.4795,34.2053,29.8329,34.5398,37.6962,44.5533,33.0151,33.9559,34.4093,28.4429,26.6833,33.3017,30.6105,30.4138,38.4708,34.9857
800,46.1736,50.2494,46.6154,43.566,48.7545,51.6236,41.3038,49.2443,52.3927,48.0833,46.8722,55.5788,46.3249,45.7056,50.2892,49.6488,49.3356,41.1461,54.1202,55.0364,44.2832,44.643,53.7587,41.3401,47.8017,49.163,38.6264,45.3431,42.107,51.6236,45.8803,40.7185,47.1699,40.1123,42.45,44.5533,43.6578,42.0119,43.909,44.4072,42.5793,47.2969,51.2445,39.2938,41,48.3011,46.0977,47.1699,44.4185,44.2832,36.6879,44.9444,44.5982,38.0789,45.0444,43.1856,36.8782,45.3542,42.45,41.4367,45.0111,44.0454,44.6878,41.4849,39.0512,37.0135,42.2019,47.4342,44.4185,43.1741,41.2311,42.9535,45,43.1856,42.72,37.7359,44.643,43.9318,40.1622,39.6232,40.5216,35.9026,38.0132,33.8378,33.9706,36.4005,30.0832,37.5766,39.2173,48.5077,34,35.171,39.2046,34.3657,27.6586,36.1248,34.6699,33.541,39.6232,37.2156
900,49.2544,53.0848,50.9902,45.2769,54.626,55.5698,44.2832,50.2195,57.2713,49.3356,50.4876,59.5399,52.4309,47.7598,52.4976,54.5894,54.4059,44.7772,57.5674,57.1402,50.3587,47.0744,57.9741,44.7772,50,52.0384,40.025,49.5782,47.2652,52.9528,49.6488,42.72,51.0392,43.0465,46.5725,50.636,47.4342,45.0111,47.7074,48.0833,45.2769,50.01,53.1507,42.4382,42.5441,53.6004,47.2652,48.8467,47.8853,50.2494,41.7612,48.0833,49.3964,41.6293,47.0956,47.1699,40.7922,46.1736,43.7379,44.4072,48.0416,47.0425,46.7547,47.5395,41.3401,39.0128,44.9444,50.9608,46.6476,46.0109,46.2385,46,48.0104,47.1699,46.6476,41.1096,46.5725,45.8912,42.72,43.1045,45.2217,38.3275,39.0128,35.1141,36.2491,38.0789,32.45,38.9487,41.6773,51.3517,35.0571,37.4833,44.8219,38.4708,29.1204,37.4833,36.6197,34.9285,42.5793,38.0789
1000,51.0098,56.5155,51,51.788,57.9396,57.3062,46.2709,53.3667,58.8558,50.2892,53.2353,61.6604,54,49.6588,57.28,56.5685,57.5674,48.7545,60.6383,60.8276,54.4518,49.0306,60.8769,46.5296,50.9608,57.0789,42.0595,54.4885,48.1664,57.0701,52.4976,44.8219,54.037,46.0109,49.7293,51.788,51.2445,47.0425,50.4777,52.6118,48.3735,51.9711,54.1479,46.8722,44.4185,54.5711,52.1728,50.9215,50.6063,53.6004,43.6807,50,54.0833,43.7379,49.0102,51.4782,43.9318,50,46.5296,46.0435,53.0848,48.0937,50.3289,51.6624,45.1221,44.0454,49.0918,52.4976,48.8774,46.0977,52.5547,49.0918,51.0882,49.2544,51,44.0454,49.4773,48,45.8803,46.1736,47.7598,41.1461,42.0476,37.6962,39.3954,38.8973,34.8281,40.7185,43.0465,53.3667,37.054,37.6563,46.6154,38.833,31.7805,39.6232,37.6431,36.2491,43.9318,41.5933
